"Program","Ye ar","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,277,000,000","","21,088,000,000","","","","189,000,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,381,000,000","","22,218,000,000","","","","163,000,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,870,000,000","","21,697,000,000","","","","173,000,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,651,000,000","","21,472,000,000","","","","179,000,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,126,000,000","","20,960,000,000","","","","166,000,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","20,842,000,000","","20,662,000,000","","","","180,000,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","20,185,000,000","","19,991,000,000","","","","194,000,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","19,694,000,000","","19,493,000,000","","","","201,000,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","18,693,000,000","","18,325,000,000","","","","368,000,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","18,424,000,000","","18,037,000,000","","","","387,000,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","16,423,000,000","","16,049,000,000","","","","374,000,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","15,296,000,000","","14,931,000,000","","","","365,000,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","15,296,000,000","","14,930,000,000","","","","366,000,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","14,725,000,000","","14,374,000,000","","","","351,000,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","13,608,000,000","","13,233,000,000","","","","375,000,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","13,330,000,000","","12,983,000,000","","","","347,000,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","14,211,000,000","","13,852,000,000","","10,704,000,000","","359,000,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","14,462,000,000","","14,090,000,000","","11,018,000,000","","372,000,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","13,569,000,000","","13,213,000,000","","10,195,000,000","","356,000,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","12,963,000,000","","12,601,000,000","","9,681,000,000","","362,000,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","12,407,000,000","","12,055,000,000","","9,368,000,000","","352,000,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,650,000,000","","9,337,000,000","","7,157,000,000","","313,000,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,837,000,000","","8,549,000,000","","6,431,000,000","","288,000,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,534,000,000","","9,248,000,000","","7,051,000,000","","286,000,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,439,000,000","","9,142,000,000","","6,998,000,000","","297,000,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,075,000,000","","8,766,000,000","","6,433,000,000","","309,000,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","10,432,000,000","","10,096,000,000","","7,535,000,000","","336,000,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,373,000,000","","9,010,000,000","","5,661,000,000","","363,000,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","10,276,000,000","","9,936,000,000","","7,236,000,000","","340,000,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","9,112,000,000","","8,801,000,000","","6,652,000,000","","311,000,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,575,000,000","","8,310,000,000","","5,970,000,000","","265,000,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,847,000,000","","8,596,000,000","","6,347,000,000","","251,000,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,089,000,000","","7,865,000,000","","5,739,000,000","","224,000,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,182,000,000","","6,955,000,000","","4,971,000,000","","227,000,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,236,000,000","","7,011,000,000","","4,803,000,000","","225,000,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,131,000,000","","6,908,000,000","","4,798,000,000","","223,000,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,018,000,000","","6,798,000,000","","4,699,000,000","","220,000,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","7,597,000,000","","7,358,000,000","","5,316,000,000","","239,000,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,853,000,000","","6,608,000,000","","4,610,000,000","","245,000,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","8,647,000,000","","8,345,000,000","","5,935,000,000","","302,000,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,739,000,000","","6,440,000,000","","4,541,000,000","","299,000,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,064,000,000","","5,789,000,000","","3,940,000,000","","275,000,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,212,000,000","","6,009,000,000","","4,278,000,000","","203,000,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","6,107,000,000","","5,917,000,000","","4,245,000,000","","190,000,000",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","5,871,000,000","","4,275,000,000","","",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","5,771,000,000","","4,265,000,000","","",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,395,000,000","","4,785,000,000","","",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","7,089,000,000","","5,226,000,000","","",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,878,000,000","","4,939,000,000","","",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,877,000,000","","4,829,000,000","","",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,721,000,000","","4,686,000,000","","",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,588,000,000","","4,573,000,000","","",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,022,000,000","","4,087,000,000","","",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,306,000,000","","","","",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,756,000,000","","","","",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","7,726,000,000","","","","",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","7,239,000,000","","","","",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,460,000,000","","","","",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,075,000,000","","","","",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,017,000,000","","","","",""
"SURVEY","1913","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,182,000,000","","","","",""
"SURVEY","1912","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,234,000,000","","","","",""
"SURVEY","1911","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,549,000,000","","","","",""
"SURVEY","1910","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,647,000,000","","","","",""
"SURVEY","1909","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,915,000,000","","","","",""
"SURVEY","1908","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,662,000,000","","","","",""
"SURVEY","1907","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,544,000,000","","","","",""
"SURVEY","1906","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,537,000,000","","","","",""
"SURVEY","1905","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,504,000,000","","","","",""
"SURVEY","1904","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,176,000,000","","","","",""
"SURVEY","1903","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","6,240,000,000","","","","",""
"SURVEY","1902","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","5,649,000,000","","","","",""
"SURVEY","1901","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","5,814,000,000","","","","",""
"SURVEY","1900","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","","","5,628,000,000","","","","",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED"," (D)","","5,522,000,000","","","","",""
